client_id,client_segment,industry,agreed_terms
CLI-2697,Enterprise,Manufacturing,Net-30
CLI-1295,SMB,Construction,Net-30
CLI-1682,Mid-Market,IT Services,Net-30
CLI-2077,Enterprise,Retail,Net-60
CLI-1749,Enterprise,Retail,Net-15
CLI-1739,Mid-Market,Retail,NET-15
CLI-4644,Enterprise,Pharma,Net-15
CLI-2538,enterprise,IT Services,Net-60
CLI-4447,SMB,Textiles,Net-30
CLI-0451,SMB,Retail,Net-60
CLI-4332,SMB,Construction,net15
CLI-4432,SMB,IT Services,Net-30
CLI-2235,Mid-Market,Pharma,Net-60
CLI-0018,Mid-Market,Construction,Net-60
CLI-0738,SMB,Retail,Net-30
CLI-1926,Enterprise,Retail,Net-15
CLI-1106,Mid-Market,Textiles,Net-15
CLI-2317,Mid-Market,Pharma,Net-30
CLI-4818,Enterprise,FMCG,Net-30
CLI-3204,Enterprise,Manufacturing,Net-15
CLI-0347,Enterprise,Retail,Net-60
CLI-4598,Enterprise,Manufacturing,Net-15
CLI-0345,Enterprise,Manufacturing,Net-60
CLI-1374,Enterprise,Retail,Net-30
CLI-3041,Mid-Market,Logistics,Net-60
CLI-0702,Enterprise,Construction,Net-15
CLI-1678,Mid-Market,IT Services,Net-30
CLI-1398,Mid-Market,Logistics,Net-15
CLI-0024,SMB,Logistics,Net-30
CLI-2293,Enterprise,Retail,Net-15
CLI-2865,Mid-Market,FMCG,Net-30
CLI-0020,SMB,Pharma,
CLI-4808,SMB,FMCG,Net-15
CLI-2061,SMB,IT Services,Net-30
CLI-3886,SMB,,Net-60
CLI-3368,Enterprise,Logistics,Net-60
CLI-1099,SMB,IT Services,Net-15
CLI-4707,Enterprise,Construction,Net-30
CLI-2868,Mid-Market,Construction,Net-15
CLI-1570,Enterprise,IT Services,Net-15
CLI-0008,Mid-Market,IT Services,Net-30
CLI-3799,Mid-Market,FMCG,net30
CLI-0717,Enterprise,Textiles,Net-60
CLI-2523,SMB,Retail,Net-60
CLI-0012,Enterprise,Logistics,Net-15
CLI-4784,Enterprise,Retail,Net-15
CLI-2138,Mid-Market,Textiles,Net-15
CLI-4542,Mid-Market,Logistics,Net-60
CLI-3431,Mid-Market,Manufacturing,Net-30
CLI-1534,Mid Market,Construction,Net-60
CLI-3974,Enterprise,FMCG,Net-15
CLI-1607,Mid-Market,Manufacturing,Net-15
CLI-3347,Mid-Market,FMCG,Net-60
CLI-0374,Mid-Market,FMCG,Net-30
CLI-2144,Mid-Market,Manufacturing,Net-60
CLI-3346,SMB,Pharma,Net-30
CLI-0276,Mid-Market,IT Services,Net-15
CLI-1408,SMB,FMCG,Net-15
CLI-4940,SMB,Textiles,Net-15
CLI-0516,SMB,Logistics,Net-30
CLI-3429,Mid-Market,,Net-15
CLI-1497,SMB,Logistics,net30
CLI-1693,SMB,FMCG,Net-60
CLI-0467,Enterprise,Textiles,30 days
CLI-2036,Mid-Market,Construction,Net-15
CLI-4555,Enterprise,FMCG,Net-15
CLI-3130,Mid-Market,Logistics,Net-30
CLI-1176,Enterprise,Textiles,Net-15
CLI-4272,SMB,Retail,Net-15
CLI-0997,SMB,IT Services,
CLI-0666,SMB,Textiles,Net-15
CLI-3629,Enterprise,Manufacturing,Net-15
CLI-3909,SMB,FMCG,Net-30
CLI-2101,SMB,Pharma,Net-60
CLI-2071,Mid-Market,Manufacturing,Net-15
CLI-2001,Enterprise,,Net-30
CLI-3520,Mid-Market,Logistics,Net-15
CLI-3075,Enterprise ,Pharma,Net-60
CLI-3712,Mid-Market,Manufacturing,Net-30
CLI-2342,Enterprise,FMCG,
CLI-4790,smb,Logistics,Net-15
CLI-3198,MID-MARKET,Pharma,Net-15
CLI-3698,Mid-Market,Construction,30 days
CLI-4747,Enterprise,Textiles,Net-15
CLI-4369,Enterprise,Textiles,Net-60
CLI-1366,Mid-Market,Textiles,Net-60
CLI-0195,SMB,IT Services,Net-15
CLI-3660,Mid-Market,Construction,Net-30
CLI-4482,Mid-Market,Logistics,Net-30
CLI-0448,Enterprise,Manufacturing,Net-15
CLI-1170,Mid-Market,Pharma,Net-30
CLI-0987,Enterprise,Manufacturing,Net-30
CLI-0663,Enterprise,,Net-30
CLI-2729,Enterprise,IT Services,Net-30
CLI-0122,Enterprise,Pharma,Net-15
CLI-2924,Enterprise,,Net-30
CLI-3631,Mid-Market,FMCG,Net-30
CLI-3580,Enterprise,FMCG,NET-15
CLI-1311,Enterprise,Retail,Net-15
CLI-0505,Mid-Market,FMCG,Net-30
CLI-0953,Enterprise,Retail,Net-30
CLI-3015,Mid-Market,Manufacturing,Net-60
CLI-1800,Enterprise,Pharma,Net-15
CLI-4678,SMB,IT Services,net15
CLI-1992, SMB,Logistics,Net-15
CLI-4025,Enterprise,Textiles,Net-60
CLI-1403,SMB,IT Services,Net-15
CLI-2399,SMB,FMCG,Net-60
CLI-0825,Enterprise,Construction,Net-30
CLI-4794,Mid-Market,Retail,Net-30
CLI-4919,SMB,Textiles,Net-15
CLI-0229,Mid-Market,Retail,NET-30
CLI-0439,SMB,Retail,Net-30
CLI-1801,Mid-Market,Logistics,Net-60
CLI-1365,SMB,,Net-30
CLI-4579,Enterprise,Logistics,Net-15
CLI-1292,Mid-Market,Logistics,Net-60
CLI-1088,Mid-Market,Retail,Net-15
CLI-0547,Enterprise,Pharma,Net-30
CLI-0910,Mid-Market,FMCG,Net-30
CLI-4253,Enterprise,Textiles,Net-30
CLI-3065,Mid-Market,Construction,Net-15
