invoice_id,client_id,invoice_amount,due_date
INV-5731,CLI-4893,1732888.38,2025-06-11
INV-4911,CLI-3857,990154.06,2026-06-13
INV-4560,CLI-0265,1532736.66,2025-08-20
INV-1437,CLI-4540,785265.85,2025-08-21
INV-6765,CLI-3236,1441207.71,2025-08-07
INV-4937,CLI-3092,400464.75,2026-02-24
INV-1205,CLI-5451,1248294.11,2026-11-14
INV-4340,CLI-5421,965439.77,10-03-2026
INV-3037,CLI-2966,566478.30,2025-08-05
INV-7370,CLI-3534,,2025-08-27
INV-1755,CLI-3289,1085162.37,2025-09-07
INV-1127,CLI-4652,1121067.35,2025-08-07
INV-5361,CLI-2217,1103906.83,2026-11-10
INV-4959,CLI-2026,1670148.75,2025-11-13
INV-1442,CLI-4001,343311.91,29-11-2026
INV-2325,CLI-2660,1958370.35,2025-09-03
INV-7190,CLI-4528,150753.81,2026-12-11
INV-5165,CLI-3398,359522.14,2026-12-21
INV-4058,CLI-0632,714546.66,2026-12-06
INV-6165,CLI-4720,1906480.67,2026-12-03
INV-5175,CLI-4475,384917.93,2025-12-17
INV-7137,CLI-3156,-155474.36,2026-06-06
INV-3579,CLI-4851,1232301.56,2025-12-14
INV-5691,CLI-0071,N/A,06-09-2026
INV-6210,CLI-2960,1831844.26,2025-09-25
INV-1639,CLI-2309,1154494.28,2026-07-30
INV-5417,CLI-4204,416426.11,2025-12-15
INV-3303,CLI-3209,697284.88,2026-04-27
INV-3476,CLI-2600,1013820.57,2026-08-31
INV-4837,CLI-3713,1785644.43,2026-11-05
INV-4281,CLI-1167,234226.22,2026-10-14
INV-3256,CLI-4859,1041936.20,2025-11-06
INV-3608,CLI-1921,1028620.50,2025-08-15
INV-4120,CLI-4334,532635.05,2026-09-13
INV-2260,CLI-1900,153653.51,2026-09-03
INV-4132,CLI-0628,1523932.26,2026-12-12
INV-4701,CLI-4777,364245.39,2026-11-24
INV-1581,CLI-2240,1049152.01,2025-08-04
INV-4696,CLI-1079,386684.40,2026-06-15
INV-2836,CLI-2582,852327.02,2026-02-16
INV-3273,CLI-2144,658925.50,2025-11-24
INV-4513,CLI-2930,1427847.66,2025-10-06
INV-6358,CLI-3051,258582.51,2025-11-17
INV-3997,CLI-2363,1458042.52,2025-12-02
INV-4764,CLI-2176,594107.96,2026-11-30
INV-4018,CLI-2668,206278.01,2026-03-18
INV-1802,CLI-3219,1821021.24,2026-01-30
INV-6705,CLI-1217,1149985.77,2026-12-07
INV-5231,CLI-1025,N/A,2025-10-22
INV-1621,CLI-3189,1705905.20,2025-07-08
INV-3217,CLI-3260,696456.43,2026-12-06
INV-2848,CLI-0931,893994.65,2025-12-27
INV-4334,CLI-2412,1456515.00,2025-11-29
INV-2844,CLI-3688,845416.79,2025-12-09
INV-6233,CLI-3997,486419.09,2025-07-07
INV-5787,CLI-1617,990557.01,2026-13-09
INV-4874,CLI-3041,1029530.63,2025-09-10
INV-6722,CLI-2095,1619432.71,2025-11-21
INV-1244,CLI-4877,"₹1,514,651.50",2026-03-18
INV-4783,CLI-2610,967462.66,13-07-2026
INV-2634,CLI-3657,1705264.18,2026-12-09
INV-1146,CLI-3586,356071.15,2026-02-10
INV-5517,CLI-3383,1638789.25,2026-08-02
INV-6651,CLI-4708,551793.63,2025-06-21
INV-2225,CLI-3263,1013126.31,2026-07-12
INV-4744,CLI-4064,1082671.36,2026-01-09
INV-7285,CLI-4596,380375.27,2026-06-23
INV-2919,CLI-4930,1297998.12,2026-05-03
INV-6427,CLI-1035,1243165.53,2026-01-09
INV-5893,CLI-4906,159979.71,2026-07-20
INV-6917,CLI-2322,405701.38,2025-11-24
INV-3484,CLI-2710,1976487.10,2025-12-05
INV-6704,CLI-0558,1586964.31,2025-09-02
INV-1032,CLI-1930,1169140.76,2026-09-02
INV-3025,CLI-1388,1753726.34,2025-12-10
INV-4615,CLI-0061,403399.09,2025-12-08
INV-6064,CLI-0711,1482046.59,2025-08-10
INV-4640,CLI-2505,782789.85,2025-12-08
INV-2543,CLI-0266,1952322.52,2025-08-14
INV-5768,CLI-4386,1328828.92,2026-03-10
INV-4749,CLI-2779,868139.85,2025-06-01
INV-4680,CLI-0914,1593391.65,2026-07-25
INV-6376,CLI-3934,1737166.61,2026-04-08
INV-5068,CLI-5348,1162643.37,2025-10-11
INV-1980,CLI-3526,1840155.34,2025-11-22
INV-1982,CLI-4501,1772706.46,2026-10-24
INV-6247,CLI-1686,1932384.79,2026-10-02
INV-2771,CLI-4252,1872282.66,2025-07-02
INV-5374,CLI-2739,,2026-01-21
INV-1468,CLI-1293,1704576.28,2025-11-27
INV-3699,CLI-3742,1275364.37,2025-07-01
INV-2274,CLI-0133,765744.58,2026-08-01
INV-5418,CLI-4889,1492748.34,2025-07-22
INV-7136,CLI-2705,842559.30,
INV-3552,CLI-0786,1928320.81,2026-05-21
INV-1367,CLI-0331,682786.28,2026-11-05
INV-1249,CLI-1145,533671.42,2025-06-05
INV-1940,CLI-4958,1674494.89,2026-07-08
INV-3420,CLI-3125,"₹1,290,601.22",2026-07-16
INV-4935,CLI-3939,629858.36,2026-08-16
INV-2089,CLI-3511,274398.77,2025-12-11
INV-6978,CLI-4382,852506.07,2026-06-25
INV-1463,CLI-2970,1548014.97,2026-04-27
INV-5232,CLI-4270,1295856.31,2026-10-28
INV-3099,CLI-1348,149437.46,04-10-2025
INV-5503,CLI-0138,140710.78,2025-08-07
INV-3312,CLI-1293,1109776.58,2025-10-02
INV-2087,CLI-4697,1597332.22,2025-09-26
INV-6890,CLI-3048,563639.89,2026-06-10
INV-4471,CLI-3269,443564.76,2026-10-22
INV-1405,CLI-0753,751926.13,2025-12-18
INV-4484,CLI-3337,1117342.54,2025-11-22
INV-4335,CLI-4056,275892.98,2026-03-01
INV-3539,CLI-2391,45004.78,2026-01-07
INV-2750,CLI-1733,1473540.31,2025-08-31
INV-1559,CLI-3206,850678.01,2026-07-08
INV-4964,CLI-4468,1489980.39,2025-12-18
INV-3613,CLI-0115,70255.99,2026-11-10
INV-5344,CLI-1268,563328.18,2025-07-07
INV-3223,CLI-0109,7865.09,2026-05-14
INV-4084,CLI-0098,558601.65,2026-05-31
INV-3323,CLI-1766,,2026-03-09
INV-4126,CLI-3035,1261290.66,2026-07-13
INV-1183,CLI-3126,480531.35,2026-09-13
INV-3358,CLI-2485,1957021.07,2025-10-25
INV-1626,CLI-1320,1382709.11,2025-12-27
INV-5353,CLI-4221,109365.52,2025-06-19
INV-6196,CLI-1675,1937476.36,2026-08-10
INV-6511,CLI-1860,,2026-02-20
INV-6833,CLI-0085,1234080.92,2026-07-24
INV-1229,CLI-3855,844705.73,2025-11-20
INV-6407,CLI-2421,1462298.51,07-07-2026
INV-5642,CLI-3980,1598598.71,2026-06-29
INV-3044,CLI-3464,1613176.73,2025-06-03
INV-5966,CLI-2376,1930156.74,2025-07-15
INV-3232,CLI-4396,1208421.18,2025-09-05
INV-5359,CLI-1686,215334.65,2026-02-11
INV-5116,CLI-0235,1949465.60,18-03-2026
INV-5588,CLI-4753,1001758.67,2026-02-18
INV-5281,CLI-3044,1981192.55,2025-10-20
INV-1961,CLI-4480,649711.18,2026-10-16
INV-1476,CLI-1320,N/A,2026-08-02
INV-1361,CLI-4984,"₹1,046,202.23",2025-08-16
INV-7069,CLI-3665,59592.25,2025-10-02
INV-3548,CLI-1414,388601.38,2026-04-20
INV-5110,CLI-2224,474229.51,2026-06-29
INV-1118,CLI-3441,983284.45,2026-03-07
INV-1686,CLI-0740,869048.89,2026-02-01
INV-5081,CLI-4718,327493.43,2025-07-22
INV-3437,CLI-2159,1221778.84,2026-01-29
INV-4973,CLI-3087,713399.55,2026-03-31
INV-3727,CLI-0269,993049.36,2025-07-18
INV-3375,CLI-2376,1049804.21,2025-06-10
INV-4710,CLI-1202,1593832.19,2026-12-29
INV-2873,CLI-2601,1491495.47,2026-06-17
INV-6682,CLI-4113,28287.47,2025-10-23
INV-5242,CLI-1157,186050.60,2026-06-08
INV-4127,CLI-4458,,2025-09-05
INV-3377,CLI-2519,,2025-06-21
INV-4121,CLI-3901,1600374.58,2026-01-26
INV-6958,CLI-2147,1990977.55,2026-11-18
INV-4472,CLI-2886,1238476.06,2025-07-17
INV-5237,CLI-5057,880142.49,2026-07-19
INV-6830,CLI-3148,15971.10,2025-12-06
INV-5693,CLI-3304,-1566926.37,2025-10-29
INV-3354,CLI-1142,918858.54,2025-06-01
INV-4709,CLI-2422,621722.23,2026-09-19
INV-4242,CLI-2384,1024781.60,2026-04-26
INV-5182,CLI-1415,-420339.96,2025-06-06
INV-5170,CLI-1715,1438720.01,2025-12-30
INV-5780,CLI-0256,1125412.36,2026-01-12
INV-6485,CLI-3747,-1155431.30,2025-07-04
INV-1567,CLI-4769,1264562.09,2025-07-19
INV-6590,CLI-3419,120611.23,2026-13-07
INV-1478,CLI-1153,49731.91,2026-02-07
INV-7430,CLI-3904,-1683287.26,2026-10-08
INV-1597,CLI-3204,1638307.89,24-12-2025
INV-4505,CLI-2943,657149.05,2025-12-11
INV-1670,CLI-1959,"₹175,648.70",2025-06-04
INV-4943,CLI-1972,113668.89,2025-12-20
INV-5635,CLI-2034,525098.72,2026-06-10
INV-4390,CLI-4327,1075409.23,2025-09-22
INV-5508,CLI-2376,1941467.42,2026-06-05
INV-3339,CLI-4648,444929.57,2026-01-19
INV-5149,CLI-2922,1404631.97,2026-02-18
INV-3860,CLI-0973,530300.82,2025-08-12
INV-7124,CLI-1984,835596.57,14-11-2025
INV-6664,CLI-1486,957778.22,2026-02-27
INV-3338,CLI-2062,1622889.84,
INV-3470,CLI-1785,1309579.62,
INV-5522,CLI-4035,287730.33,2026-02-02
INV-4302,CLI-0791,1685880.18,2026-10-27
INV-5944,CLI-4018,1620971.13,2026-02-25
INV-2748,CLI-2340,1874736.55,2026-08-29
INV-3654,CLI-0624,1288885.76,2026-09-13
INV-5095,CLI-0724,1202383.34,2025-08-25
INV-4464,CLI-3940,910918.10,2026-03-08
INV-4101,CLI-4220,515355.14,2026-10-20
INV-5517,CLI-4238,770615.79,2025-10-24
INV-1529,CLI-3446,1868773.13,2026-01-31
INV-6790,CLI-0856,1066331.27,2026-11-24
INV-3688,CLI-3993,1651473.12,2026-11-04
INV-3760,CLI-3970,327783.95,2026-02-20
INV-2161,CLI-2678,375257.31,2026-08-20
INV-5031,CLI-4977,341819.90,2026-03-28
INV-6824,CLI-1006,495601.60,2026-09-16
INV-2147,CLI-2039,1103581.69,2026-03-30
INV-4788,CLI-3677,1792476.42,2026-10-22
INV-5212,CLI-1063,884144.62,2026-03-16
INV-3928,CLI-3259,323439.85,2025-11-23
INV-5447,CLI-4187,1271309.74,2025-12-11
INV-5899,CLI-3862,225993.99,2025-08-19
INV-6849,CLI-0753,5130.17,2026-10-04
INV-3214,CLI-2291,677688.25,2026-11-11
