payment_id,invoice_id,payment_date,amount_paid,discount_applied
PAY-5363,INV-5470,2026-08-20,1633771.32,0.00
PAY-4954,INV-5042,,182589.10,2075.70
PAY-6840,INV-6958,2026-10-22,1954588.90,36388.65
PAY-1394,INV-1404,2025-02-30,1495504.90,64686.25
PAY-5206,INV-5310,2025-09-14,1541698.72,0.00
PAY-4162,INV-4237,2026-08-07,531358.74,0.00
PAY-4766,INV-4852,2026-08-12,1495571.78,38394.09
PAY-4473,INV-4555,2025-08-21,1076878.89,38091.04
PAY-4679,INV-4761,2025-11-14,277556.41,0.00
PAY-5488,INV-5595,2026-02-30,1694244.95,6937.09
PAY-6972,INV-7094,2026-02-08,269829.26,10221.07
PAY-3708,INV-3767,2025-06-18,474773.58,6196.77
PAY-3953,INV-4015,2025-08-11,1256798.39,62334.54
PAY-4540,INV-4630,2026-02-30,17283.76,715.37
PAY-1414,INV-1428,2025-08-03,390357.23,0.00
PAY-7308,INV-7432,02-12-2026,879745.03,
PAY-4553,INV-4641,2025-09-17,13903.10,605.96
PAY-7322,INV-7446,2026-08-15,1581719.42,
PAY-3760,INV-3823,2025-12-01,1188849.57,7009.79
PAY-5419,INV-5522,2026-01-15,287730.33,0.00
PAY-5062,INV-5163,2026-07-25,,4568.53
PAY-3353,INV-3413,2025-07-25,1017659.54,0.00
PAY-6861,INV-6976,2025-11-04,1518472.97,31480.45
PAY-1949,INV-1970,2027-01-03,102989.79,0.00
PAY-7003,INV-7125,2025-11-22,197313.36,0.00
PAY-6215,INV-6330,2026-07-03,632167.59,0.00
PAY-1503,INV-1510,,493859.10,14396.91
PAY-7305,INV-7429,2026-08-28,269004.53,0.00
PAY-2601,INV-2619,2026-01-28,162063.34,0.00
PAY-6273,INV-6388,2026-11-07,838003.00,9428.64
PAY-2599,INV-2617,2025-11-01,316313.36,0.00
PAY-3384,INV-3449,2026-12-03,415034.16,3905.23
PAY-1569,INV-1578,2026-03-02,599503.25,13814.63
PAY-7140,INV-7262,2025-12-23,674530.91,0.00
PAY-3216,INV-3278,2025-10-26,1403163.95,0.00
PAY-2000,INV-2028,2026-09-24,671329.41,9440.25
PAY-5035,INV-5131,2026-12-10,12618.67,0.00
PAY-5941,INV-6051,2025-09-23,1856790.57,0.00
PAY-3892,INV-3958,2026-09-03,577825.92,0.00
PAY-1747,INV-1759,2026-08-19,1604743.75,0.00
PAY-5088,INV-5192,2025-09-01,184768.21,15487.40
PAY-2593,INV-2612,2026-02-06,353216.45,-26099.92
PAY-5800,INV-5912,2025-12-30,-1657919.05,0.00
PAY-1144,INV-1152,2026-05-02,1740289.50,0.00
PAY-6611,INV-6725,2025-11-12,306362.82,0.00
PAY-4672,INV-4757,2026-07-03,639969.03,0.00
PAY-5752,INV-5864,2025-10-01,1122458.76,43221.25
PAY-2417,INV-2440,2026-09-16,275383.96,0.00
PAY-7195,INV-7321,2025-10-01,756256.46,0.00
PAY-3900,INV-3966,10-07-2025,359273.11,0.00
PAY-5108,INV-5211,2025-08-05,409947.50,0.00
PAY-4635,INV-4726,2025-09-01,-1729177.53,0.00
PAY-7012,INV-7137,2026-05-20,152179.01,3295.35
PAY-1981,INV-2008,2026-09-12,1227001.76,0.00
PAY-1212,INV-1218,2025-09-26,,43895.68
PAY-2763,INV-2782,2025-06-09,1519688.31,0.00
PAY-5274,INV-5378,2026-06-07,318936.61,1735.70
PAY-1424,INV-1436,2025-10-24,1924038.52,0.00
PAY-6872,INV-6986,2026-07-31,1705255.13,52711.74
PAY-4127,INV-4197,2025-09-01,1744800.65,0.00
PAY-5908,INV-6023,11-03-2026,,
PAY-3423,INV-3489,2025-08-29,1619695.33,0.00
PAY-5966,INV-6079,2026-06-29,953062.96,0.00
PAY-1139,INV-1145,2025-07-26,592088.97,18714.28
PAY-3637,INV-3696,2026-10-24,1282972.61,
PAY-2265,INV-2287,,1615101.16,0.00
PAY-4839,INV-4929,2025-11-30,964109.17,-11239.51
PAY-5780,INV-5892,2025-09-24,533808.64,0.00
PAY-1399,INV-1410,2025-10-11,172685.18,0.00
PAY-5219,INV-5324,2026-07-23,1533340.06,0.00
PAY-6036,INV-6147,2025-07-25,256125.92,0.00
PAY-5938,INV-6048,2026-02-11,658888.21,0.00
PAY-5446,INV-5554,2026-01-05,1247347.86,33069.25
PAY-7145,INV-7267,2025-09-05,993964.04,0.00
PAY-4998,INV-5092,2026-05-08,1619858.65,0.00
PAY-3949,INV-4011,2026-05-24,488996.09,1363.61
PAY-5033,INV-5130,2026-07-13,1470113.47,68965.28
PAY-6262,INV-6375,2026-01-19,77037.53,0.00
PAY-7022,INV-7148,2026-11-18,1177254.73,0.00
PAY-6246,INV-6361,2025-11-10,1271262.52,44801.50
PAY-4692,INV-4773,2026-09-13,576934.87,0.00
PAY-3291,INV-3357,2026-07-23,1784856.24,0.00
PAY-4406,INV-4482,11-12-2025,894001.17,0.00
PAY-4061,INV-4126,2026-07-02,,31955.98
PAY-3910,INV-3974,2026-12-05,1660393.34,0.00
PAY-7015,INV-7142,2026-02-24,304327.73,0.00
PAY-6187,INV-6299,2026-05-16,,
PAY-2470,INV-2485,2025-05-15,1005240.21,0.00
PAY-3594,INV-3655,,1309273.79,0.00
PAY-3010,INV-3043,2026-08-03,312899.43,0.00
PAY-3613,INV-3674,2025-11-14,507675.13,59400.81
PAY-3212,INV-3274,2025-12-30,115775.46,534.57
PAY-1666,INV-1681,2025-07-20,361673.16,
PAY-2626,INV-2648,2026-06-05,399789.96,0.00
PAY-1580,INV-1592,2025-06-05,305862.04,17290.53
PAY-5211,INV-5316,2026-05-03,1590736.98,0.00
PAY-6037,INV-6148,2026-01-12,1069607.03,0.00
PAY-6153,INV-6263,2026-05-23,1090416.34,
PAY-7439,INV-9456,2026-06-14,352917.01,0.00
PAY-5876,INV-5991,2026-10-02,896477.68,0.00
PAY-4334,INV-4409,2026-07-30,,0.00
PAY-1855,INV-1870,2026-05-20,1354512.51,54404.11
PAY-3345,INV-3405,2026-03-24,645685.16,28499.60
PAY-4213,INV-4291,2025-10-17,1654883.87,0.00
PAY-5629,INV-5734,2025-07-24,289511.54,3445.28
PAY-4816,INV-4906,2026-10-03,39397.38,0.00
PAY-1998,INV-2026,2026-04-11,1344156.44,0.00
PAY-2987,INV-3019,2026-10-11,91574.97,0.00
PAY-5181,INV-5286,2025-08-25,1145366.23,0.00
PAY-5074,INV-5177,2026-10-03,1260851.68,0.00
PAY-4445,INV-4524,2027-02-09,1431454.27,0.00
PAY-5535,INV-5641,2026-05-11,243700.04,0.00
PAY-3035,INV-3069,2026-10-13,,0.00
PAY-6977,INV-7099,2025-09-19,242989.06,25046.02
PAY-2795,INV-2815,2026-02-16,863896.62,0.00
PAY-7333,INV-7455,2026-04-04,509669.35,9547.03
PAY-7368,INV-7490,2026-04-29,1638717.59,13490.21
PAY-1923,INV-1943,2026-10-05,144749.31,0.00
